hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_times,epoch_losses
32,4,5e-05,30,895.41846,729.2734,-19.657825469970703,22.142666896184284,"[22.124048471450806, 22.108256816864014, 22.117650032043457, 22.144227266311646, 22.122148275375366, 22.286185264587402, 22.201786279678345, 22.121426582336426, 22.126362085342407, 22.12580418586731, 22.142271280288696, 22.259514570236206, 22.124074935913086, 22.094244956970215, 22.154883861541748, 22.086366653442383, 22.077040910720825, 22.172000646591187, 22.113598108291626, 22.08669948577881, 22.16327977180481, 22.123605489730835, 22.12942600250244, 22.19142746925354, 22.129801273345947, 22.182554483413696, 22.16763949394226, 22.14828109741211, 22.143829107284546, 22.11157202720642]","[1478819.8369439137, 1452300.5754810316, 1426734.4714792576, 1401420.688984034, 1376460.7245667304, 1351778.4754025654, 1327362.8518695415, 1303250.996827238, 1279447.1367869815, 1255850.7838598527, 1232665.9911213838, 1209736.1377422216, 1187070.497560726, 1164707.246315502, 1142651.842035685, 1120857.5471308678, 1099379.9969125274, 1078193.478268286, 1057251.9924860126, 1036668.7339485534, 1016349.6332560044, 996304.670655363, 976563.0799416621, 957135.423572257, 937990.6714144378, 919131.6265949099, 900571.9085954558, 882303.7651729668, 864309.5380987308, 846617.239014738]"
32,4,1e-05,30,1197.7996,1077.8676,-38.30390167236328,22.15779905319214,"[22.122685194015503, 22.15034031867981, 22.2312114238739, 22.166433095932007, 22.118325233459473]","[1492172.1355929312, 1485347.1198826418, 1480111.8555710972, 1474928.3078432041, 1469706.9522891648]"
32,5,0.05,30,181.37141,129.37033,-0.06879127025604248,22.5951078414917,"[22.61008381843567, 22.62316083908081, 22.651816606521606, 22.52463173866272, 22.56584620475769]","[139240.02237551493, 35865.58784917973, 35862.12546482669, 35866.5715306711, 35867.517839590015]"
32,5,0.01,30,180.52043,128.66238,-0.053804755210876465,22.599187564849853,"[22.560288667678833, 22.550937175750732, 22.52254343032837, 22.63320255279541, 22.728965997695923]","[380713.338995921, 35865.51489531005, 35846.94082628275, 35850.857869244035, 35846.85134821063]"
32,5,0.005,30,180.51686,128.81534,-0.0541532039642334,22.6586012840271,"[22.552688121795654, 22.692660331726074, 22.628283977508545, 22.657516956329346, 22.784804105758667, 22.63565421104431]","[669039.7920263032, 66045.46652115068, 35844.26415475904, 35843.488331090935, 35848.899543062565, 35852.285539518794]"
32,5,0.001,30,181.13411,128.33957,-0.062129318714141846,22.65003828568892,"[22.67384386062622, 22.71267819404602, 22.724608182907104, 22.697335243225098, 22.560433626174927, 22.574390172958374, 22.758179664611816, 22.654943704605103, 22.647380590438843, 22.58044719696045, 22.56618070602417]","[1250181.7636292304, 853033.0124266512, 561427.4399222161, 348862.7752904101, 193650.56946173921, 93465.23924022158, 45315.60652100675, 35948.11303764243, 35841.072054667246, 35849.56529535685, 35841.31636480473]"
32,5,0.0005,30,180.8846,128.46965,-0.05872619152069092,22.621175130208332,"[22.757147789001465, 22.58845090866089, 22.592487573623657, 22.66301131248474, 22.669691562652588, 22.603332042694092, 22.734619855880737, 22.586634159088135, 22.66532039642334, 22.66469430923462, 22.54706883430481, 22.634243965148926, 22.552204132080078, 22.58267879486084, 22.572677612304688, 22.559258937835693, 22.57669973373413, 22.630930423736572]","[1364789.9524597435, 1135236.5330154886, 934597.2704012009, 762138.7167457014, 616751.8191525656, 494240.6370129981, 387718.66665955924, 295542.6507168566, 217639.98276516443, 153967.92092402428, 104421.47207681581, 68783.15015874471, 46770.37566259126, 37307.346040417535, 35864.977717636975, 35848.25031170574, 35841.50053472394, 35842.586557579874]"
32,5,0.0001,30,631.88525,484.42905,-9.125509262084961,22.62941970825195,"[22.61703872680664, 22.593749046325684, 22.588603019714355, 22.63983178138733, 22.584534883499146, 22.619361639022827, 22.755157470703125, 22.67463183403015, 22.721540451049805, 22.687586307525635, 22.524150371551514, 22.64363384246826, 22.717940092086792, 22.617081880569458, 22.660894632339478, 22.563460111618042, 22.624569177627563, 22.72892141342163, 22.61768865585327, 22.63209366798401, 22.609933137893677, 22.62612557411194, 22.6126811504364, 22.545795679092407, 22.629446029663086, 22.574308395385742, 22.65821385383606, 22.557404279708862, 22.645435571670532, 22.61077857017517]","[1464920.1267228439, 1413404.1697598253, 1363509.7761667576, 1314827.6640966157, 1267263.1547318504, 1220887.5076248636, 1175670.495718477, 1131565.9927674672, 1088692.3556990311, 1046952.5928715202, 1006356.0267552538, 966980.3170544486, 928686.8847912118, 891623.0855110534, 855704.8962029204, 820907.8878616267, 787308.9171926173, 754824.3643388373, 723519.2762946916, 693344.9124675901, 664324.2333899086, 636401.4031923786, 609581.1563352894, 583747.8636096139, 558703.062077818, 534328.2914591294, 510567.40921380324, 487411.9433849618, 464818.76244797354, 442810.77644394786]"
32,5,5e-05,30,895.31415,728.7404,-19.647748947143555,22.56087156931559,"[22.63541030883789, 22.586040258407593, 22.622809886932373, 22.5420982837677, 22.536007165908813, 22.536362648010254, 22.557409524917603, 22.510475873947144, 22.57186007499695, 22.573688507080078, 22.594871997833252, 22.57127833366394, 22.512749671936035, 22.546189308166504, 22.5717716217041, 22.545957565307617, 22.55233120918274, 22.612039804458618, 22.534770250320435, 22.52580165863037, 22.54613471031189, 22.50768804550171, 22.581065893173218, 22.58047103881836, 22.535489797592163, 22.477416276931763, 22.5522198677063, 22.527297496795654, 22.504268407821655, 22.774171590805054]","[1478322.4230349346, 1451841.092880049, 1426269.365362309, 1401026.6907409935, 1376003.7637145196, 1351306.6019548308, 1326981.3956570688, 1302858.526013237, 1279056.2416416486, 1255540.3265727346, 1232326.794793941, 1209366.3734477346, 1186727.4201009825, 1164377.7040546534, 1142329.6249914712, 1120557.445431905, 1099067.3927487037, 1077896.4693384962, 1057013.2146731713, 1036414.2897448144, 1016075.0016460835, 996080.721556018, 976364.4281778794, 956934.3239543531, 937813.717274495, 918944.2086261599, 900412.455692208, 882102.948604667, 864175.9694493723, 846502.9454574918]"
32,5,1e-05,30,1197.5637,1077.8448,-38.30205154418945,22.647123193740846,"[22.589383363723755, 22.71367120742798, 22.737465858459473, 22.58966326713562, 22.605432271957397]","[1491813.879042713, 1484796.7443709061, 1479501.2016921397, 1474311.1000102346, 1469089.2677742904]"
