hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses
100,3,0.01,30,179.96544,129.74448,-0.048113882541656494,20.233329677581786,"[153990.0923672472, 35858.89287503838, 35862.21557217394, 35864.8770943854, 35859.42742326895]"
100,3,0.005,30,180.85553,128.94391,-0.05973607301712036,20.174483585357667,"[266580.9223210364, 35851.13794904817, 35851.81498085255, 35864.5357348846, 35856.06174545621]"
100,3,0.001,30,180.91534,128.5267,-0.05942493677139282,20.125072853905813,"[891544.8568760235, 227746.49792747, 43362.5772339267, 35842.877566141855, 35847.6465820579, 35848.446658205256, 35846.45241656574]"
100,3,0.0005,30,180.81293,128.6347,-0.0581434965133667,20.299523962868584,"[1141775.9635473527, 624261.6595720183, 302815.740839929, 114737.88903168924, 42628.07792896787, 35847.30194798099, 35844.44850578475, 35844.6414892205, 35844.210660176504]"
100,3,0.0001,30,180.81657,128.58554,-0.05808889865875244,20.175382880064156,"[1410663.2174536027, 1262481.6715935452, 1125457.370727006, 999169.061033024, 883589.1532392877, 778682.5469432315, 684286.9725880185, 600036.4903281932, 524246.10442822054, 454598.4664855691, 390347.63761855214, 331552.31072811474, 278132.80806708854, 230116.88010882915, 187515.84313271867, 150264.91174582936, 118380.75018443812, 91839.78678261036, 70589.60707112275, 54615.0626274009, 43797.23633612087, 37914.33157162063, 36035.74997947726, 35848.940311481856, 35847.7358407766, 35841.344380141345]"
100,3,5e-05,30,380.89145,294.4907,-2.837775707244873,20.12832883199056,"[1448924.971172216, 1371632.523079285, 1297395.29591976, 1225844.114390011, 1156975.7013253958, 1090883.8541638236, 1027516.3387605759, 966834.7872117221, 908857.2384774154, 853594.9185231305, 801025.3736524291, 751140.1858368586, 703953.418079626, 659388.6461048377, 617413.2066175969, 577748.9290478303, 539986.6528085767, 503697.532780943, 468789.73146663484, 435225.80169811, 403056.5099063523, 372242.8529484511, 342779.069212268, 314684.048433662, 287937.09928954014, 262574.8322167542, 238554.2166987923, 215891.0019659184, 194589.43645733828, 174643.36683141717]"
100,4,0.1,30,180.49367,130.43443,-0.05804026126861572,21.300658988952637,"[48430.4159637851, 35998.0163851409, 36010.43082504605, 36001.87440870527, 36007.31649660335]"
100,4,0.05,30,183.58514,126.37067,-0.09165269136428833,21.535231733322142,"[60009.816429038234, 35923.66575962383, 35923.16768929427, 35919.39741582746, 35924.544353768295]"
100,4,0.01,30,180.79604,128.58302,-0.05774456262588501,21.394605731964113,"[154014.30566792717, 35856.09208712515, 35864.25066512328, 35858.92319511847, 35856.43634879433]"
100,4,0.005,30,181.91199,127.839264,-0.07228314876556396,21.39400773048401,"[266481.42096333735, 35848.572342118845, 35848.941429971084, 35850.578576900036, 35850.98847554969]"
100,4,0.001,30,181.08836,128.22186,-0.06113588809967041,21.44509812763759,"[891490.4778333106, 227788.72392013084, 43400.30577214004, 35845.01860426191, 35846.27193320995, 35845.119816409446, 35843.03418954908]"
100,4,0.0005,30,180.766,128.58307,-0.05734068155288696,21.349590672387016,"[1141921.149290393, 624381.8861643695, 302971.0229598799, 114721.54393784968, 42599.94023125661, 35850.70015413376, 35845.14820175504, 35845.0137759546, 35845.203624342204]"
100,4,0.0001,30,180.84131,128.55057,-0.05830681324005127,21.412215186999394,"[1410068.525262691, 1261899.7993313319, 1124869.5463547353, 998584.8077664438, 883046.1660582697, 778173.1101596616, 683799.9713598526, 599547.6352688319, 523788.06711841567, 454165.5819587541, 389940.5595319323, 331177.9118087302, 277793.1618940195, 229836.88400441798, 187250.67119588394, 150031.8020392672, 118187.43445090747, 91675.33026949287, 70460.73983138305, 54528.63753539506, 43733.417903450376, 37871.59746208358, 36023.94478530551, 35849.22078774798, 35842.19380207978, 35844.657885955414]"
100,4,5e-05,30,380.51718,294.2478,-2.8307130336761475,21.351245872179668,"[1448030.5287766103, 1370783.1163004912, 1296548.690672762, 1225029.9640590884, 1156214.313600232, 1090091.2931307997, 1026753.8469909935, 966074.6877643969, 908120.1859050901, 852877.7708020606, 800323.9973304449, 750453.2440468068, 703254.9066252729, 658720.7283706332, 616735.3807698212, 577124.2969773471, 539361.205555745, 503093.1009100368, 468223.8261889329, 434711.908872646, 402546.15909013373, 371752.5282734034, 342301.03053356986, 314229.83286068845, 287510.32888194255, 262160.5864364424, 238167.00286145607, 215532.02110057315, 194240.43844031455, 174327.68014593]"
